timestamp,EAR_left,EAR_right,EAR_avg,MAR,pitch,yaw,roll,confidence,fps,level,level_name
1783575511.607901,0.34165606,0.40239567,0.37202585,0.4587847,176.67146,-29.162266,8.586027,0,0.930185273976704,0,ALERT
1783575511.7484415,0.3325281,0.39868355,0.36560583,0.50063276,176.71281,-26.311232,8.314881,0,7.1153936848248165,0,ALERT
1783575511.7774093,0.33733526,0.41972226,0.37852874,0.5149522,176.63617,-25.830145,8.290581,0,34.52102057613169,0,ALERT
1783575511.792662,0.33920962,0.45753506,0.39837232,0.49471828,176.94875,-26.341536,7.9269223,0,65.56263482039579,0,ALERT
1783575511.827551,0.35522586,0.4268274,0.39102662,0.5004061,178.00635,-26.792646,8.301348,0,28.662343253493695,0,ALERT
1783575511.8605585,0.34248132,0.44435945,0.3934204,0.48314258,177.25793,-27.42249,7.98764,0,30.29603305307561,0,ALERT
1783575511.8875945,0.320477,0.46146348,0.39097026,0.46526697,176.28125,-26.08126,8.258438,0,36.98778627300546,0,ALERT
1783575511.9091337,0.33216912,0.44629836,0.38923374,0.47542906,176.83696,-24.678604,8.030911,0,46.42695534745744,0,ALERT
1783575511.9338741,0.3295646,0.45416656,0.39186558,0.48563233,176.32336,-26.969908,8.478508,0,40.419624357948905,0,ALERT
1783575511.9586818,0.31716752,0.47754428,0.3973559,0.5106937,176.75558,-26.664713,7.7663355,0,40.31007871140114,0,ALERT
1783575511.9796464,0.34041652,0.4522478,0.39633217,0.46666136,176.88751,-24.903288,8.15749,0,47.69940408497475,0,ALERT
1783575511.9937818,0.29769114,0.38502228,0.3413567,0.49379683,176.83498,-26.264435,8.716922,0,70.74456888409122,0,ALERT
1783575512.0343325,0.33001372,0.42220193,0.3761078,0.47972313,178.2408,-22.452612,8.34103,0,24.660481414846956,0,ALERT
1783575512.0642695,0.32465267,0.45348045,0.38906655,0.5019155,177.12277,-17.721195,8.445266,0,33.40344841317246,0,ALERT
1783575512.093818,0.32605255,0.42561245,0.3758325,0.52397937,176.44644,-25.761307,8.607214,0,33.84277242102715,0,ALERT
1783575512.1253152,0.33781746,0.46732002,0.40256873,0.50273114,178.03943,-22.641768,8.527103,0,31.74881347977806,0,ALERT
1783575512.1575503,0.34830284,0.48982313,0.41906297,0.50256354,176.99777,-23.537157,8.29876,0,31.022040768024613,0,ALERT
1783575512.1997917,0.34675944,0.46758473,0.40717208,0.48903784,177.83018,-21.675037,8.176258,0,23.67349426831402,0,ALERT
1783575512.236563,0.31563193,0.47746414,0.39654803,0.5080709,177.25414,-24.933378,7.820833,0,27.195124165207808,0,ALERT
1783575512.2693646,0.3576302,0.47416583,0.41589803,0.49594238,177.91655,-23.748451,8.095918,0,30.48629161215293,0,ALERT
1783575512.293864,0.34094375,0.43247175,0.38670775,0.46881825,178.0379,-22.270723,7.585911,0,40.817298896436284,0,ALERT
1783575512.3330767,0.36031806,0.46658188,0.41344997,0.5023784,177.48717,-26.889877,8.162301,0,25.50193956344622,0,ALERT
1783575512.365201,0.32756957,0.48636243,0.406966,0.4791176,177.41115,-23.558105,8.183373,0,31.12910144798462,0,ALERT
1783575512.3940191,0.3469688,0.44938216,0.39817548,0.4643228,177.41232,-26.99018,8.100124,0,34.700377258587594,0,ALERT
1783575512.4180741,0.3333988,0.43058574,0.38199228,0.46899754,177.15204,-23.58217,8.020501,0,41.571391757686285,0,ALERT
1783575512.4618852,0.37074023,0.4570942,0.4139172,0.52563083,178.49788,-25.873592,7.8791895,0,22.825274683413422,0,ALERT
1783575512.516046,0.35669377,0.48265457,0.41967416,0.459497,178.1504,-22.631067,8.079825,0,18.463526832682565,0,ALERT
1783575512.5430224,0.36743408,0.46789727,0.41766566,0.498834,178.68875,-22.92341,7.907617,0,37.0695113436503,0,ALERT
1783575512.5479624,0.3626784,0.4980047,0.43034154,0.46993428,178.03517,-24.424429,7.960323,0,202.42779922779923,0,ALERT
1783575512.7256513,0.397733,0.5028257,0.45027936,0.48992395,178.6721,-24.062933,8.015293,0.8785082101821899,5.62781554876617,0,ALERT
1783575512.7605898,0.3443547,0.47122225,0.4077885,0.49900383,176.92712,-28.196424,8.501446,0.8758622407913208,28.62166053649782,0,ALERT
1783575512.78698,0.37320584,0.46977243,0.42148912,0.46224338,177.20848,-28.273386,8.2085,0.8749783039093018,37.893032668401275,0,ALERT
1783575512.8119133,0.38531148,0.45366004,0.41948578,0.46264568,177.64903,-28.022903,8.05782,0.8740759491920471,40.10694409914131,0,ALERT
1783575512.8415747,0.34868714,0.45318568,0.4009364,0.4519514,177.21999,-28.373787,8.300646,0.8725591897964478,33.7138309929346,0,ALERT
1783575512.8565593,0.36197454,0.42106807,0.3915213,0.48094052,176.77379,-28.876215,8.701749,0.8692314624786377,66.73514717581543,0,ALERT
1783575512.877536,0.3179987,0.39041603,0.35420737,0.4602027,176.5965,-28.60844,8.387573,0.8641054034233093,47.671754770808,0,ALERT
1783575512.924925,0.33996883,0.4210118,0.38049033,0.46545646,176.0338,-27.913057,8.887519,0.8627040386199951,21.101929926948543,0,ALERT
1783575512.961283,0.35441142,0.40338448,0.37889794,0.49599034,176.54419,-28.20573,8.544934,0.8601550459861755,27.50435421256951,0,ALERT
1783575512.994406,0.33045852,0.4360987,0.3832786,0.46575877,176.01419,-30.124235,9.07972,0.859708309173584,30.190487158816076,0,ALERT
1783575513.0380645,0.34222034,0.40599665,0.3741085,0.4802844,175.57375,-28.819748,9.258561,0.8580119013786316,22.90504977691858,0,ALERT
1783575513.0711627,0.35340607,0.38593808,0.3696721,0.516695,176.67203,-28.4535,8.931875,0.8550897240638733,30.213104362358095,0,ALERT
1783575513.0943813,0.3496298,0.41536126,0.38249552,0.4904886,176.91429,-29.975674,8.814317,0.8549386262893677,43.06886000041074,0,ALERT
1783575513.1320784,0.34382343,0.42192817,0.3828758,0.5614922,176.66579,-32.5052,9.204515,0.8525916934013367,26.527255823366833,0,ALERT
1783575513.1643393,0.33955538,0.44121405,0.39038473,0.49231026,177.12721,-34.302555,9.5004635,0.8530920743942261,30.99728035946553,0,ALERT
1783575513.1943524,0.33490604,0.38195878,0.3584324,0.5606067,177.79811,-33.938065,8.555129,0.8476037383079529,33.31880143624289,0,ALERT
1783575513.213433,0.32932103,0.39135692,0.360339,0.59183383,178.38248,-34.739418,8.637257,0.8430208563804626,52.409146570036235,0,ALERT
1783575513.2644587,0.33242357,0.38539243,0.358908,0.70600694,178.55005,-34.043438,8.299768,0.8366856575012207,19.597994551834667,0,ALERT
1783575513.2953813,0.33418518,0.4284723,0.38132876,0.6761137,178.3618,-35.621765,8.576965,0.835280179977417,32.33875357558655,0,ALERT
1783575513.3249557,0.34681037,0.4137585,0.38028443,0.6789737,178.5467,-32.504005,8.717404,0.8352140784263611,33.81303408467963,0,ALERT
1783575513.3569217,0.35703555,0.4262423,0.39163893,0.6509511,179.20372,-30.838018,8.615841,0.8374303579330444,31.28326682826776,0,ALERT
1783575513.4032547,0.34581977,0.41152722,0.3786735,0.6790198,178.68456,-31.58578,8.693478,0.8366925716400146,21.58285434944812,0,ALERT
1783575513.437995,0.37143168,0.41256514,0.3919984,0.6928168,176.13219,-31.137444,9.439018,0.8373000025749207,28.785088291206566,0,ALERT
1783575513.4679873,0.35436702,0.44189337,0.3981302,0.7001649,176.62347,-26.53982,9.503669,0.8412891030311584,33.34184440010493,0,ALERT
1783575513.494441,0.3558969,0.4566334,0.40626514,0.73279995,175.15788,-30.500746,10.112896,0.8420785665512085,37.801847595872204,0,ALERT
1783575513.5384104,0.36480156,0.3929149,0.3788582,0.6913405,176.86769,-28.257776,9.458984,0.8410338759422302,22.74309324859967,0,ALERT
1783575513.5664725,0.37608927,0.45155707,0.4138232,0.6385594,175.50638,-29.817734,9.951142,0.8449426889419556,35.635245240057436,0,ALERT
1783575513.600472,0.38183987,0.44443578,0.41313782,0.62943184,176.11989,-27.310078,9.35504,0.8486649990081787,29.412246500799416,0,ALERT
1783575513.621549,0.36199746,0.40860236,0.3852999,0.6404464,176.63669,-28.71153,9.517198,0.8475710153579712,47.445267694535254,0,ALERT
1783575513.6610518,0.34955877,0.40003368,0.37479624,0.5833742,175.82385,-27.551786,9.612459,0.8475909233093262,25.31462335608708,0,ALERT
1783575513.694557,0.3640195,0.4447555,0.4043875,0.54132915,175.1841,-28.093964,9.621603,0.8508092164993286,29.84611224569668,0,ALERT
1783575513.7084014,0.3477453,0.40864906,0.37819716,0.4456061,176.21951,-25.12258,8.839183,0.853691041469574,72.23090170145346,0,ALERT
1783575513.7579381,0.35453045,0.3876181,0.37107426,0.35774058,177.39438,-26.233839,8.670329,0.8548488020896912,20.187051190728297,0,ALERT
1783575513.7947063,0.35664412,0.42712605,0.3918851,0.32961172,175.91202,-26.382864,8.72419,0.8580362200737,27.197416627220086,0,ALERT
1783575513.8405528,0.357355,0.43010962,0.3937323,0.35857448,177.62044,-26.403515,8.448476,0.8596984148025513,21.81193380968725,0,ALERT
1783575513.9263036,0.3212487,0.4295094,0.37537906,0.2562053,177.08994,-24.180971,8.745279,0.8627450466156006,11.661696300724286,0,ALERT
1783575513.9552982,0.37575483,0.4367993,0.40627706,0.22261603,177.25604,-26.6846,8.871821,0.8664406538009644,34.489228036706905,0,ALERT
1783575513.9758012,0.33331862,0.43628898,0.3848038,0.2620911,176.82977,-22.566658,8.776458,0.8692288994789124,48.77324526722173,0,ALERT
1783575513.9952862,0.34286973,0.414426,0.37864786,0.26826662,177.43825,-24.453571,8.6210785,0.8685927391052246,51.32153782150111,0,ALERT
1783575514.0214953,0.3503716,0.42625794,0.38831478,0.1924222,176.52586,-23.83031,8.333591,0.8702267408370972,38.15466346459988,0,ALERT
1783575514.052264,0.3116771,0.38398838,0.34783274,0.22064295,178.07968,-22.60268,8.013228,0.8683963418006897,32.5006315234826,0,ALERT
1783575514.0611336,0.3387765,0.3940399,0.3664082,0.19829686,176.99379,-28.062258,8.6444845,0.8658499717712402,112.74404601903123,0,ALERT
1783575514.095557,0.3340742,0.39199805,0.36303613,0.22460659,176.90425,-26.764454,8.644638,0.8643299341201782,29.050047789890705,0,ALERT
1783575514.1103785,0.35653734,0.3796485,0.36809292,0.22727752,176.831,-24.095427,8.391381,0.8642047047615051,67.46942058359875,0,ALERT
1783575514.1592484,0.3435957,0.38916245,0.36637908,0.2166559,177.5769,-24.501919,8.723683,0.8645780086517334,20.462514940846443,0,ALERT
1783575514.1954875,0.3794274,0.40620828,0.39281785,0.22293313,177.2698,-25.943588,8.7398615,0.866526186466217,27.59446834826774,0,ALERT
1783575514.2379446,0.34478807,0.38103384,0.36291096,0.20946176,176.87132,-25.235247,8.770326,0.8664686679840088,23.55318455957502,0,ALERT
1783575514.2680504,0.33893627,0.39403483,0.36648554,0.26289892,177.66986,-24.300694,8.338612,0.8655175566673279,33.21615864040611,0,ALERT
1783575514.2953265,0.33697936,0.42601648,0.38149792,0.20960298,176.99615,-25.80013,9.005097,0.8646579384803772,36.66221460788084,0,ALERT
1783575514.3320222,0.36148754,0.41794354,0.38971555,0.23036657,176.3389,-26.805199,9.159786,0.8585205078125,27.25113538167666,0,ALERT
1783575514.36407,0.34639898,0.40232542,0.3743622,0.2614773,177.12657,-24.099083,8.542498,0.8446608185768127,31.20344001547412,0,ALERT
1783575514.395228,0.34666234,0.40606877,0.37636557,0.21722442,176.84206,-23.530315,8.821487,0.8250675797462463,32.09451662764183,0,ALERT
1783575514.4289198,0.35580933,0.40444773,0.38012853,0.2237124,176.66281,-26.272303,8.865671,0.7993354201316833,29.68073934642003,0,ALERT
1783575514.46206,0.3326022,0.41161653,0.37210938,0.2525748,176.63982,-24.952114,8.610733,0.7725961804389954,30.174848920863308,0,ALERT
1783575514.4953692,0.32385737,0.3921016,0.35797948,0.23964955,177.32094,-24.905943,8.905775,0.7440335750579834,30.021716568009218,0,ALERT
1783575514.5103636,0.33694315,0.4026972,0.36982018,0.2637507,176.53026,-26.752401,8.983723,0.7209858298301697,66.69164109332019,0,ALERT
1783575514.560356,0.3394472,0.3819921,0.36071965,0.23304486,176.80377,-27.665697,8.925464,0.6922650337219238,20.003071302871476,0,ALERT
1783575514.5953634,0.34900373,0.41262624,0.38081497,0.24551694,176.387,-27.699568,9.371545,0.652186930179596,28.5653263593767,0,ALERT
1783575514.6223924,0.37603647,0.39698294,0.3865097,0.30944204,175.55933,-27.133091,9.67988,0.5562124252319336,36.99724790064216,0,ALERT
1783575514.6692219,0.3221232,0.43679333,0.37945828,0.25595838,176.66844,-26.315062,9.063247,0.5544682145118713,21.354078312976984,0,ALERT
1783575514.695529,0.33224013,0.3785276,0.35538387,0.20921946,177.17755,-26.239845,9.237805,0.8407107591629028,38.01254304875838,0,ALERT
1783575514.733081,0.32315913,0.4296982,0.37642866,0.27765462,176.14641,-24.903414,9.2694845,0.9413974285125732,26.629656201390432,0,ALERT
1783575514.765235,0.31809667,0.4002341,0.3591654,0.2401284,177.4312,-23.971573,8.782461,0.9438929557800293,31.100479746112722,0,ALERT
1783575514.7953868,0.361518,0.39439583,0.37795693,0.33774674,176.62999,-26.126858,9.31246,0.9463942050933838,33.16546739835213,0,ALERT
1783575514.8245044,0.35572952,0.37268436,0.36420694,0.26493812,176.42616,-27.615911,9.256756,0.9473699927330017,34.343508450150665,1,DROWSY
1783575514.8601794,0.33045188,0.37351653,0.3519842,0.23972815,176.40472,-26.342157,9.219527,0.9474700689315796,28.030795551753634,1,DROWSY
1783575514.8955874,0.322425,0.3864405,0.35443276,0.26284122,176.4643,-27.850403,9.089754,0.9479475617408752,28.242189183365653,1,DROWSY
1783575514.9256296,0.33105516,0.37389386,0.3524745,0.23845428,176.46033,-27.722197,9.001593,0.9482377767562866,33.28654191070267,1,DROWSY
1783575514.9581864,0.3102589,0.35298207,0.33162048,0.23655453,176.99825,-23.921942,8.803926,0.948441743850708,30.71557563729834,1,DROWSY
1783575515.0111341,0.34024426,0.38747108,0.3638577,0.24804413,175.97824,-25.422876,9.583455,0.9481669068336487,18.886540375271863,1,DROWSY
1783575515.0382233,0.3194153,0.3938581,0.3566367,0.2526034,175.91498,-28.447496,9.237609,0.9483217000961304,36.9151909875022,1,DROWSY
1783575515.072226,0.34868917,0.38005385,0.3643715,0.28546938,177.09883,-26.77675,9.028804,0.9483684301376343,29.40935926741365,1,DROWSY
1783575515.0954013,0.31778455,0.38752043,0.3526525,0.24380633,175.70291,-29.378904,9.383408,0.9484080076217651,43.14950002057528,1,DROWSY
1783575515.13213,0.31657892,0.3941071,0.355343,0.30864272,176.05351,-27.042803,9.722526,0.94838547706604,27.226723617503293,1,DROWSY
1783575515.1650455,0.36381218,0.37173483,0.3677735,0.23081078,176.56696,-28.191982,9.751221,0.948104202747345,30.380738530182967,1,DROWSY
1783575515.1955419,0.29588294,0.4312226,0.36355275,0.25765878,176.71294,-24.829622,9.203089,0.9473056197166443,32.790799853022804,1,DROWSY
1783575515.228388,0.3459166,0.3794339,0.36267525,0.25304484,176.68436,-26.20153,9.309858,0.9475395083427429,30.444910609942873,1,DROWSY
1783575515.2624738,0.3276619,0.38453084,0.3560964,0.24025251,176.92877,-24.558054,9.113843,0.9474126100540161,29.337772617265642,1,DROWSY
1783575515.295524,0.32424504,0.38142884,0.35283694,0.22867101,176.70662,-24.003956,9.255379,0.9473521113395691,30.25713090274271,1,DROWSY
1783575515.325986,0.3127228,0.3849829,0.34885287,0.26389486,175.80614,-25.106274,9.722612,0.9476987719535828,32.827756776006325,1,DROWSY
1783575515.360317,0.3293058,0.37425703,0.35178143,0.3201529,176.10983,-27.285156,9.842697,0.9484313726425171,29.12812250425362,1,DROWSY
1783575515.395381,0.30228287,0.3852772,0.34378004,0.25393003,176.08191,-26.572826,9.126607,0.9483697414398193,28.51929366487839,1,DROWSY
1783575515.4370477,0.34177172,0.41045758,0.37611467,0.26431134,175.46281,-28.625332,9.700582,0.9480151534080505,23.999954223720124,1,DROWSY
1783575515.4721136,0.32724836,0.41652453,0.37188646,0.25919718,175.71935,-28.322918,10.191522,0.9475504159927368,28.51774240703849,1,DROWSY
1783575515.4955173,0.32241458,0.38397485,0.3531947,0.22359385,176.59503,-28.740595,9.285673,0.9478076100349426,42.728387767160406,1,DROWSY
1783575515.5330377,0.33991,0.44251397,0.391212,0.2580853,176.97292,-23.9935,9.369796,0.9465809464454651,26.652161756856366,1,DROWSY
1783575515.56731,0.3471459,0.43808836,0.3926171,0.3011207,176.05922,-28.102814,9.572962,0.9465274214744568,29.177969933703885,1,DROWSY
1783575515.5954337,0.35647509,0.47008285,0.41327897,0.266973,177.06583,-25.390205,9.864636,0.9451732039451599,35.557303808950564,1,DROWSY
1783575515.6290102,0.37178957,0.43984684,0.4058182,0.26450604,177.95651,-25.882599,9.219048,0.9450235366821289,29.78274515373145,1,DROWSY
1783575515.6616359,0.35408399,0.4373826,0.3957333,0.29276475,177.1187,-24.400684,8.891243,0.944989025592804,30.650706654389733,1,DROWSY
1783575515.6975424,0.34271666,0.43389875,0.38830772,0.27110386,177.24037,-25.735933,9.273863,0.9450156092643738,27.850069387728,1,DROWSY
1783575515.7261093,0.35339126,0.4518776,0.4026344,0.29830685,177.0113,-22.869268,8.899123,0.9445342421531677,35.005625198217295,1,DROWSY
1783575515.7579763,0.34678993,0.4192062,0.38299808,0.26162565,175.84023,-28.167723,9.354882,0.945268988609314,31.380398024839145,1,DROWSY
