timestamp,rule_pred,rule_label,lstm_pred,lstm_label,mismatch
1783294131.418987,1,Drowsy,0,Alert,True
1783294131.4509008,1,Drowsy,0,Alert,True
1783294131.47683,1,Drowsy,0,Alert,True
1783294131.517722,1,Drowsy,0,Alert,True
1783294131.5476406,1,Drowsy,0,Alert,True
1783294131.580552,1,Drowsy,0,Alert,True
1783294131.6134667,1,Drowsy,0,Alert,True
1783294131.6463883,1,Drowsy,0,Alert,True
1783294131.678292,1,Drowsy,0,Alert,True
1783294131.7072139,1,Drowsy,1,Drowsy,False
1783294131.7560837,1,Drowsy,1,Drowsy,False
1783294131.784009,1,Drowsy,1,Drowsy,False
1783294131.8179197,1,Drowsy,1,Drowsy,False
1783294131.8528252,1,Drowsy,1,Drowsy,False
1783294131.8837416,1,Drowsy,1,Drowsy,False
1783294131.9126644,1,Drowsy,1,Drowsy,False
1783294131.947572,1,Drowsy,1,Drowsy,False
1783294131.9784882,1,Drowsy,1,Drowsy,False
1783294132.0094068,1,Drowsy,1,Drowsy,False
1783294132.0433154,1,Drowsy,1,Drowsy,False
1783294132.0732353,1,Drowsy,1,Drowsy,False
1783294132.1081426,1,Drowsy,1,Drowsy,False
1783294132.1610012,1,Drowsy,1,Drowsy,False
1783294132.1929152,1,Drowsy,1,Drowsy,False
1783294132.228821,1,Drowsy,1,Drowsy,False
1783294132.262729,1,Drowsy,1,Drowsy,False
1783294132.2986324,1,Drowsy,1,Drowsy,False
1783294132.3365316,1,Drowsy,1,Drowsy,False
1783294132.3744307,1,Drowsy,1,Drowsy,False
1783294132.4193096,1,Drowsy,1,Drowsy,False
1783294132.4602003,1,Drowsy,1,Drowsy,False
1783294132.5020893,1,Drowsy,1,Drowsy,False
1783294132.5399866,1,Drowsy,1,Drowsy,False
1783294132.5778966,1,Drowsy,1,Drowsy,False
1783294132.6157851,1,Drowsy,1,Drowsy,False
1783294132.651688,1,Drowsy,1,Drowsy,False
1783294132.6885898,1,Drowsy,1,Drowsy,False
1783294132.7264895,1,Drowsy,1,Drowsy,False
1783294132.7653859,1,Drowsy,1,Drowsy,False
1783294132.801297,1,Drowsy,1,Drowsy,False
1783294132.8381906,1,Drowsy,1,Drowsy,False
1783294132.874092,0,Alert,1,Drowsy,True
1783294132.9090018,0,Alert,1,Drowsy,True
1783294132.9439073,0,Alert,1,Drowsy,True
1783294132.9798121,0,Alert,1,Drowsy,True
1783294133.018709,0,Alert,1,Drowsy,True
1783294133.053613,0,Alert,1,Drowsy,True
1783294133.0905151,0,Alert,1,Drowsy,True
1783294133.1294134,0,Alert,1,Drowsy,True
1783294133.165315,0,Alert,1,Drowsy,True
1783294133.2012193,0,Alert,1,Drowsy,True
1783294133.2381206,0,Alert,1,Drowsy,True
1783294133.2750218,0,Alert,1,Drowsy,True
1783294133.3089309,0,Alert,1,Drowsy,True
1783294133.3448358,1,Drowsy,1,Drowsy,False
1783294133.3807387,1,Drowsy,1,Drowsy,False
1783294133.4176402,1,Drowsy,1,Drowsy,False
1783294133.4555428,1,Drowsy,1,Drowsy,False
1783294133.4914434,1,Drowsy,1,Drowsy,False
1783294133.5273483,1,Drowsy,1,Drowsy,False
1783294133.560267,1,Drowsy,1,Drowsy,False
1783294133.59716,1,Drowsy,1,Drowsy,False
1783294133.63506,1,Drowsy,1,Drowsy,False
1783294133.6689687,1,Drowsy,1,Drowsy,False
1783294133.7038748,1,Drowsy,1,Drowsy,False
1783294133.7407773,1,Drowsy,1,Drowsy,False
1783294133.775683,1,Drowsy,1,Drowsy,False
1783294133.810589,1,Drowsy,1,Drowsy,False
1783294133.8464928,1,Drowsy,1,Drowsy,False
1783294133.8863862,1,Drowsy,1,Drowsy,False
1783294133.92229,1,Drowsy,1,Drowsy,False
1783294133.9582114,1,Drowsy,1,Drowsy,False
1783294133.9950974,1,Drowsy,1,Drowsy,False
1783294134.031998,1,Drowsy,1,Drowsy,False
1783294134.068898,1,Drowsy,1,Drowsy,False
1783294134.1038058,1,Drowsy,1,Drowsy,False
1783294134.1436985,1,Drowsy,1,Drowsy,False
1783294134.179618,1,Drowsy,1,Drowsy,False
1783294134.2135112,1,Drowsy,1,Drowsy,False
1783294134.2514114,1,Drowsy,1,Drowsy,False
1783294134.2883139,1,Drowsy,1,Drowsy,False
1783294134.324215,1,Drowsy,1,Drowsy,False
1783294134.3581238,1,Drowsy,1,Drowsy,False
1783294134.3950267,1,Drowsy,1,Drowsy,False
1783294134.4309304,1,Drowsy,1,Drowsy,False
1783294134.4688292,1,Drowsy,1,Drowsy,False
1783294134.5077248,1,Drowsy,1,Drowsy,False
1783294134.541635,1,Drowsy,1,Drowsy,False
1783294134.575543,1,Drowsy,1,Drowsy,False
1783294134.6104496,1,Drowsy,1,Drowsy,False
1783294134.6493459,1,Drowsy,1,Drowsy,False
1783294134.683256,1,Drowsy,1,Drowsy,False
1783294134.7201564,1,Drowsy,1,Drowsy,False
1783294134.7580547,1,Drowsy,1,Drowsy,False
1783294134.791965,1,Drowsy,1,Drowsy,False
1783294134.8268714,0,Alert,1,Drowsy,True
1783294134.860779,0,Alert,1,Drowsy,True
1783294135.0393026,0,Alert,1,Drowsy,True
1783294135.0742095,0,Alert,1,Drowsy,True
1783294135.1081188,0,Alert,1,Drowsy,True
1783294135.1440227,0,Alert,1,Drowsy,True
1783294135.1759377,0,Alert,1,Drowsy,True
1783294135.2108433,0,Alert,1,Drowsy,True
1783294135.2447534,0,Alert,1,Drowsy,True
1783294135.282653,0,Alert,1,Drowsy,True
1783294135.3165622,0,Alert,1,Drowsy,True
1783294135.3604438,0,Alert,1,Drowsy,True
1783294135.3943532,0,Alert,1,Drowsy,True
1783294135.4292696,0,Alert,1,Drowsy,True
1783294135.4671588,0,Alert,1,Drowsy,True
1783294135.5060534,0,Alert,1,Drowsy,True
1783294135.5439534,0,Alert,1,Drowsy,True
1783294135.5798569,0,Alert,1,Drowsy,True
1783294135.6177557,0,Alert,1,Drowsy,True
1783294135.6586466,0,Alert,1,Drowsy,True
1783294135.69455,0,Alert,1,Drowsy,True
1783294135.7294574,1,Drowsy,1,Drowsy,False
1783294135.7633808,1,Drowsy,1,Drowsy,False
1783294135.8012667,1,Drowsy,1,Drowsy,False
1783294135.8361712,1,Drowsy,1,Drowsy,False
1783294135.872076,1,Drowsy,1,Drowsy,False
1783294135.917954,2,Highly Drowsy,1,Drowsy,True
1783294135.9538584,2,Highly Drowsy,1,Drowsy,True
1783294135.9887645,2,Highly Drowsy,1,Drowsy,True
1783294136.0256648,2,Highly Drowsy,1,Drowsy,True
1783294136.0605724,2,Highly Drowsy,1,Drowsy,True
1783294136.0934832,2,Highly Drowsy,1,Drowsy,True
1783294136.1283894,2,Highly Drowsy,1,Drowsy,True
1783294136.1652918,2,Highly Drowsy,1,Drowsy,True
1783294136.2031896,2,Highly Drowsy,1,Drowsy,True
1783294136.239093,2,Highly Drowsy,1,Drowsy,True
1783294136.275994,2,Highly Drowsy,1,Drowsy,True
1783294136.3158891,2,Highly Drowsy,1,Drowsy,True
1783294136.3537877,2,Highly Drowsy,1,Drowsy,True
1783294136.3886945,2,Highly Drowsy,1,Drowsy,True
1783294136.426599,2,Highly Drowsy,1,Drowsy,True
1783294136.4624965,2,Highly Drowsy,1,Drowsy,True
1783294136.500395,2,Highly Drowsy,1,Drowsy,True
1783294136.5323093,2,Highly Drowsy,1,Drowsy,True
1783294136.5602345,2,Highly Drowsy,1,Drowsy,True
1783294136.5831726,2,Highly Drowsy,2,Highly Drowsy,False
1783294136.612096,2,Highly Drowsy,2,Highly Drowsy,False
